Strategy,PitLaps,RaceTime
MEDIUM-SOFT-HARD,"[18, 42]",5648.8499999999985
SOFT-HARD-MEDIUM,"[24, 39]",5648.8499999999985
MEDIUM-HARD-SOFT,"[18, 33]",5648.8499999999985
HARD-MEDIUM-SOFT,"[15, 33]",5648.85
HARD-SOFT-MEDIUM,"[15, 39]",5648.85
MEDIUM-SOFT-HARD,"[13, 33]",5648.86515151515
MEDIUM-HARD-SOFT,"[13, 37]",5648.8651515151505
SOFT-MEDIUM-HARD,"[20, 33]",5648.8651515151505
SOFT-HARD-MEDIUM,"[20, 44]",5648.8651515151505
HARD-MEDIUM-SOFT,"[24, 37]",5648.865151515152
HARD-SOFT-MEDIUM,"[24, 44]",5648.865151515153
MEDIUM-SOFT-HARD,"[10, 42]",5648.91075151515
MEDIUM-HARD-SOFT,"[10, 25]",5648.910751515152
HARD-MEDIUM-SOFT,"[15, 25]",5648.910751515152
SOFT-HARD-MEDIUM,"[21, 39]",5648.942163636362
MEDIUM-HARD-SOFT,"[18, 36]",5648.942163636362
MEDIUM-SOFT-HARD,"[18, 39]",5648.942163636363
SOFT-MEDIUM-HARD,"[21, 39]",5648.942163636363
HARD-MEDIUM-SOFT,"[18, 36]",5648.942163636364
HARD-SOFT-MEDIUM,"[18, 39]",5648.942163636365
MEDIUM-SOFT-HARD,"[11, 43]",5649.0036909090895
MEDIUM-HARD-SOFT,"[11, 25]",5649.00369090909
HARD-MEDIUM-SOFT,"[14, 25]",5649.00369090909
HARD-MEDIUM-SOFT,"[13, 30]",5649.128078787879
MEDIUM-HARD-SOFT,"[17, 30]",5649.128078787879
MEDIUM-SOFT-HARD,"[17, 44]",5649.128078787879
HARD-SOFT-MEDIUM,"[13, 40]",5649.1280787878795
MEDIUM-HARD-SOFT,"[16, 38]",5649.2175575757565
SOFT-HARD-MEDIUM,"[19, 41]",5649.2175575757565
MEDIUM-SOFT-HARD,"[16, 35]",5649.217557575757
SOFT-MEDIUM-HARD,"[19, 35]",5649.217557575757
HARD-MEDIUM-SOFT,"[22, 38]",5649.217557575758
HARD-SOFT-MEDIUM,"[22, 41]",5649.217557575759
SOFT-MEDIUM-HARD,"[19, 34]",5649.236145454544
MEDIUM-HARD-SOFT,"[15, 38]",5649.236145454544
MEDIUM-SOFT-HARD,"[15, 34]",5649.236145454544
SOFT-HARD-MEDIUM,"[19, 42]",5649.236145454545
HARD-MEDIUM-SOFT,"[23, 38]",5649.236145454546
HARD-SOFT-MEDIUM,"[23, 42]",5649.236145454547
MEDIUM-SOFT-HARD,"[18, 43]",5649.26918181818
HARD-MEDIUM-SOFT,"[14, 32]",5649.269181818181
MEDIUM-HARD-SOFT,"[18, 32]",5649.269181818181
HARD-SOFT-MEDIUM,"[14, 39]",5649.269181818182
MEDIUM-HARD-SOFT,"[12, 25]",5649.4126242424245
MEDIUM-SOFT-HARD,"[12, 44]",5649.4126242424245
HARD-MEDIUM-SOFT,"[13, 25]",5649.4126242424245
MEDIUM-SOFT-HARD,"[18, 38]",5649.422787878786
MEDIUM-HARD-SOFT,"[18, 37]",5649.422787878786
SOFT-MEDIUM-HARD,"[20, 38]",5649.422787878787
SOFT-HARD-MEDIUM,"[20, 39]",5649.422787878787
HARD-MEDIUM-SOFT,"[19, 37]",5649.422787878788
HARD-SOFT-MEDIUM,"[19, 39]",5649.422787878789
SOFT-MEDIUM-HARD,"[21, 32]",5649.462624242423
MEDIUM-SOFT-HARD,"[11, 32]",5649.462624242423
MEDIUM-HARD-SOFT,"[11, 36]",5649.462624242424
MEDIUM-SOFT-HARD,"[10, 32]",5649.504357575756
SOFT-MEDIUM-HARD,"[22, 32]",5649.504357575756
MEDIUM-HARD-SOFT,"[10, 35]",5649.504357575757
MEDIUM-HARD-SOFT,"[17, 38]",5649.514963636362
MEDIUM-SOFT-HARD,"[17, 36]",5649.514963636363
SOFT-MEDIUM-HARD,"[19, 36]",5649.514963636363
SOFT-HARD-MEDIUM,"[19, 40]",5649.514963636363
